converted_alias	mock_rep1	mock_rep2	mock_rep3	sars_cov_rep1	sars_cov_rep2	sars_cov_rep3	p_value
ENSG00000196684	0.6953	0.6906	1.013	1.312	1.33	1.519	0.009462851407814615
ENSG00000127528	0.1159	0.04894	0.09847	0.0	0.0	0.01785	0.017378842578242477
ENSG00000072954	2.709	2.754	2.34	1.762	1.979	1.894	0.007678100907609025
ENSG00000188039	0.4101	0.4868	0.3732	0.3132	0.271	0.3157	0.027681422039928582
ENSG00000160117	0.3753	0.3727	0.2812	0.6212	0.4951	0.4928	0.02117844656676919
ENSG00000130312	20.18	21.08	21.48	18.46	19.57	19.18	0.021555825442799922
ENSG00000130303	1.241	2.413	1.526	3.971	4.175	4.425	0.002819712108441096
ENSG00000141971	4.835	4.827	4.532	6.031	5.959	5.852	0.0004147161089921341
ENSG00000105643	3.744	3.835	3.544	4.889	4.87	4.068	0.03369394765932434
ENSG00000105696	0.02445	0.0258	0.03461	0.0	0.0	0.0	0.0008886473655976156
ENSG00000256771	1.765	1.555	1.841	1.413	1.428	1.344	0.021946122980448644
ENSG00000288920	9.546	9.214	9.261	6.722	6.851	8.711	0.04247393551540753
ENSG00000168813	2.864	2.754	2.843	2.06	2.224	2.146	0.00031084687662259015
ENSG00000089335	1.983	1.884	1.863	1.482	1.355	1.291	0.0013601510368445927
ENSG00000089327	234.1	256.0	216.9	308.3	291.2	305.7	0.006152500503669305
ENSG00000105677	20.89	19.11	19.71	25.24	21.63	24.85	0.03343873461098534
ENSG00000197808	0.9592	0.8043	1.023	0.7248	0.5894	0.6524	0.022652015630473765
ENSG00000198182	2.933	3.275	3.596	2.359	2.54	2.344	0.013304258846124883
ENSG00000099338	0.1949	0.1682	0.2257	0.05982	0.09932	0.08182	0.004534574491076748
ENSG00000099341	101.9	95.72	94.91	112.2	106.8	116.8	0.016589717465363977
ENSG00000130244	2.678	2.993	2.481	1.596	1.678	2.229	0.023715908131938686
ENSG00000187994	1.366	1.441	1.493	1.583	1.509	1.616	0.04882253071332152
ENSG00000188505	10.57	10.65	12.05	17.82	13.52	16.62	0.023191672432841075
ENSG00000006712	45.79	46.62	42.1	51.19	50.77	51.01	0.01157657307350149
ENSG00000013275	25.25	24.46	24.74	27.62	27.69	28.41	0.000834837818107777
ENSG00000077312	28.93	28.37	29.32	31.99	30.26	32.62	0.02214961976159137
